USER,AGE,GENDER,COUNTRY,ENGLISH,EDUCATION,SIZE,TREL,TOPIC,DOC,urel,mental,physical,temp,perf,effort,frust,time,viewdoc,viewtopic
22,22,male,English,5,ug,lrg,1,374,APW20000921.0210,1,20,30,20,65,30,25,69286,1,0
22,22,male,English,5,ug,lrg,2,427,NYT19980624.0258,1,50,55,20,40,60,50,154138,1,0
22,22,male,English,5,ug,med,1,362,NYT19990910.0300,1,60,30,20,45,45,75,62374,1,0
22,22,male,English,5,ug,sml,2,336,XIE19970816.0131,2,10,10,10,85,15,15,32112,1,0
23,26,male,British,5,pg,sml,0,658,XIE19970711.0134,0,50,5,25,90,50,25,53595,1,0
23,26,male,British,5,pg,lrg,0,433,NYT19980609.0102,0,25,20,20,80,30,20,73969,1,0
23,26,male,British,5,pg,sml,2,336,XIE19970816.0131,2,30,20,20,85,25,20,29161,1,0
23,26,male,British,5,pg,med,0,303,NYT19991213.0349,1,30,15,20,60,20,35,53720,1,0
23,26,male,British,5,pg,med,2,347,APW19980601.0405,1,30,15,20,60,20,35,67669,1,0
23,26,male,British,5,pg,sml,1,307,XIE19990914.0185,2,15,10,15,95,20,15,32699,2,1
23,26,male,British,5,pg,lrg,1,625,NYT19980827.0495,2,20,15,30,95,20,10,39648,1,0
23,26,male,British,5,pg,med,1,416,XIE19971024.0006,1,30,15,25,90,15,20,70039,3,2
23,26,male,British,5,pg,lrg,2,372,APW20000318.0028,2,15,10,25,95,20,15,61137,1,0
24,31,female,Pakistan,4,pg,med,1,397,APW20000428.0152,0,90,20,80,30,60,90,150489,2,1
24,31,female,Pakistan,4,pg,med,0,404,XIE19980409.0318,1,70,40,90,60,45,90,263233,1,0
24,31,female,Pakistan,4,pg,sml,1,409,APW20000429.0059,0,55,5,25,90,15,15,142598,2,1
24,31,female,Pakistan,4,pg,med,2,435,XIE19980916.0271,1,85,25,50,50,80,70,120488,2,1
24,31,female,Pakistan,4,pg,lrg,2,658,NYT19991026.0281,1,95,70,95,45,85,90,287885,2,1
24,31,female,Pakistan,4,pg,sml,2,374,APW19981016.0273,1,75,75,85,70,75,100,68395,3,2
24,31,female,Pakistan,4,pg,lrg,0,393,NYT20000529.0173,1,95,75,60,50,25,15,383980,2,1
24,31,female,Pakistan,4,pg,lrg,1,362,NYT19991222.0357,0,95,80,95,25,65,65,143828,2,1
24,31,female,Pakistan,4,pg,sml,0,638,APW20000104.0278,2,95,75,100,90,95,60,238521,3,2
25,20,male,English,5,ug,lrg,2,336,NYT19990704.0007,0,10,10,10,95,15,10,92441,1,0
25,20,male,English,5,ug,sml,1,374,XIE19961025.0274,1,25,15,30,95,30,10,108288,2,1
25,20,male,English,5,ug,med,1,443,APW19990705.0101,1,50,35,30,65,30,10,126675,1,0
25,20,male,English,5,ug,med,2,625,XIE19980627.0223,2,20,30,20,95,35,10,79370,1,0
25,20,male,English,5,ug,lrg,0,330,NYT19981130.0056,0,35,20,30,95,50,10,240882,1,0
25,20,male,English,5,ug,sml,0,322,APW20000922.0178,0,20,20,20,100,20,10,58731,1,0
25,20,male,English,5,ug,lrg,1,650,NYT20000620.0418,0,65,65,50,60,60,30,187790,2,1
25,20,male,English,5,ug,sml,2,310,XIE19990525.0216,0,20,15,15,95,25,10,77195,1,0
25,20,male,English,5,ug,med,0,397,XIE19980928.0076,0,20,20,20,95,25,10,57613,1,0
26,44,female,British,5,ug,sml,1,436,APW19981203.0891,2,45,30,45,50,45,30,84178,3,2
26,44,female,British,5,ug,lrg,0,347,NYT19990810.0258,0,50,25,50,50,50,50,75668,2,1
26,44,female,British,5,ug,lrg,1,639,NYT19980726.0077,1,50,25,45,50,50,50,49459,1,0
26,44,female,British,5,ug,sml,2,404,XIE19980226.0039,0,40,20,30,50,35,30,52950,2,1
26,44,female,British,5,ug,med,1,374,APW19981023.0720,2,45,20,35,50,40,55,50150,1,0
26,44,female,British,5,ug,med,0,408,NYT19990823.0239,0,45,20,40,55,40,30,48395,1,0
26,44,female,British,5,ug,lrg,2,622,APW19990520.0038,2,40,20,35,55,35,35,49466,2,1
26,44,female,British,5,ug,med,2,435,XIE19960603.0054,2,40,20,40,55,35,35,37912,1,0
26,44,female,British,5,ug,sml,0,307,XIE19970324.0007,1,65,20,50,30,65,75,84799,2,1
27,28,male,Yemeni,4,pg,lrg,0,448,NYT19990223.0162,0,5,5,5,100,10,5,183036,1,0
27,28,male,Yemeni,4,pg,lrg,2,435,NYT19990129.0073,1,25,20,10,25,45,30,495951,3,2
