USER,AGE,GENDER,COUNTRY,ENGLISH,EDUCATION,SIZE,TREL,TOPIC,DOC,urel,time,viewdoc,viewtopic,mental,physical,temp,perf,effort,frust
54f0769fec17c,23,male,india,4,ug,sml,0,363,XIE19970522.0042,0,87395,1,0,85,70,85,90,75,50
54f0769fec17c,23,male,india,4,ug,med,1,433,NYT19990514.0239,1,42021,1,0,85,75,80,95,70,30
54f0769fec17c,23,male,india,4,ug,lrg,0,345,NYT19991213.0084,0,34197,1,0,75,80,90,100,70,15
54f0769fec17c,23,male,india,4,ug,lrg,2,401,APW20000830.0096,0,43727,1,0,85,75,95,95,70,30
54f076a36e617,24,female,indian,3,pg,sml,0,336,APW19990423.0112,1,38805,1,0,70,55,55,55,40,80
54f076a36e617,24,female,indian,3,pg,med,2,448,APW19980918.1522,1,9391,1,0,65,65,65,65,65,65
54f076a36e617,24,female,indian,3,pg,lrg,0,314,NYT20000215.0179,1,8811,1,0,80,75,65,65,55,55
54f076a36e617,24,female,indian,3,pg,sml,1,399,XIE19960107.0330,1,5885,1,0,65,60,60,55,50,45
54f076a36e617,24,female,indian,3,pg,med,2,443,XIE19991214.0011,1,7572,1,0,50,50,50,50,55,55
54f076a36e617,24,female,indian,3,pg,sml,0,409,APW19980703.0721,1,6692,1,0,50,50,55,60,50,50
54f076a36e617,24,female,indian,3,pg,med,1,375,NYT20000703.0124,1,6388,1,0,55,50,50,45,45,45
54f076a36e617,24,female,indian,3,pg,lrg,1,375,NYT19990607.0184,1,6877,1,0,35,45,50,55,55,55
54f076a36e617,24,female,indian,3,pg,lrg,2,416,NYT19980603.0152,1,6477,1,0,65,55,55,55,50,50
54f076a3c7d24,29,male,turkish,4,staff,sml,2,362,APW19990604.0030,2,5684,1,0,70,75,65,65,65,65
54f076a3c7d24,29,male,turkish,4,staff,lrg,0,650,NYT19980724.0237,1,8636,1,0,65,55,70,70,70,70
54f076a3c7d24,29,male,turkish,4,staff,sml,2,658,XIE19960403.0241,2,3309,1,0,75,80,80,80,80,80
54f076a3c7d24,29,male,turkish,4,staff,sml,1,436,APW19980812.0309,2,27307,1,0,85,80,75,95,80,80
54f076a3c7d24,29,male,turkish,4,staff,med,2,436,APW19980608.1630,2,3872,1,0,90,85,80,90,80,85
54f076a3c7d24,29,male,turkish,4,staff,lrg,1,427,NYT20000928.0194,2,5906,1,0,85,85,85,85,85,85
54f076a3c7d24,29,male,turkish,4,staff,med,1,435,XIE19990826.0234,2,4025,1,0,90,85,85,85,85,85
54f076a3c7d24,29,male,turkish,4,staff,lrg,0,399,NYT19990202.0125,2,23089,1,0,100,90,90,90,90,90
54f076a3c7d24,29,male,turkish,4,staff,med,0,448,APW19990814.0078,2,56522,1,0,90,90,90,90,90,90
54f076a9e4775,32,male,Macedonian,4,pg,sml,1,435,XIE19980714.0264,2,77040,2,1,80,10,40,80,80,20
